,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
1228,Poland,2017,6.201268196,10.21157646,0.881854117,68.90000153,0.830842614,-0.127978221,0.8307749,0.677435517,0.20338779699999998,0.502480447,0.651249409,0.678492665,1.6274428369999998,0.262437105,0.260087878
1238,Portugal,2017,5.711499214,10.23770332,0.899984837,72.19999695,0.9050656559999999,-0.17740751800000001,0.880970538,0.649151087,0.294272572,0.5010881420000001,1.14347434,1.0617860559999999,2.205086708,0.38607844700000005,0.44552809
1255,Romania,2017,6.089904785,10.05677509,0.8112401370000001,66.90000153,0.838586688,-0.161854967,0.925658047,0.7337303759999999,0.23083619800000002,0.29834133399999996,0.28731009399999996,0.167793587,2.141298056,0.351614386,0.4121176
1268,Russia,2017,5.578742981,10.11722469,0.8961513040000001,63.90000153,0.73087424,-0.154709876,0.861590207,0.7102302309999999,0.194560528,0.556597233,-0.8826558590000001,-0.5595991020000001,2.124688625,0.38085436799999994,0.377679735
1279,Rwanda,2017,3.10837388,7.525214672000001,0.516550004,60.5,0.9081148509999999,0.050674845,0.213757217,0.7621610759999999,0.358309627,0.981398344,-0.54128325,0.292252868,2.128731251,0.68483758,0.714647591
1292,Saudi Arabia,2017,6.2942824360000005,10.80050182,0.8400862809999999,66.0,0.8141421679999999,-0.14906089,0.637933,0.7748757,0.30584189300000003,0.46862,-1.148168445,0.177424327,2.5089230540000003,0.398603499,0.451889485
1305,Senegal,2017,4.683024883,7.812208176,0.743759334,59.20000076,0.6869370340000001,-0.031085404,0.8252418640000001,0.7457320690000001,0.290836066,0.61072278,0.135668606,-0.17547138,2.007637501,0.428705275,0.43669450299999996
1316,Serbia,2017,5.122031212,9.550297737000001,0.8837704059999999,67.80000305,0.684846342,-0.077337377,0.8514578340000001,0.50972122,0.326407075,0.5111979839999999,0.109036274,-0.09161531199999999,2.394509554,0.46749219299999994,0.36612975600000003
1327,Sierra Leone,2017,4.089562416000001,7.237275124,0.652287126,49.20000076,0.7106135490000001,0.086719848,0.8483983279999999,0.6003682020000001,0.495040029,0.73751694,-0.09198020400000001,-0.875413895,2.59525919,0.634605587,0.5835860970000001
1339,Singapore,2017,6.378437996000001,11.35668564,0.8973498940000001,76.5,0.926127851,0.12596322599999998,0.161790684,0.800114393,0.179324552,0.92699796,0.708121538,2.069170475,1.418072224,0.22232280699999998,0.564909577
1349,Slovakia,2017,6.3655090329999995,10.31411076,0.9133866429999999,68.59999847,0.7142246959999999,-0.066592969,0.920422673,0.788020432,0.21272248,0.34168008,0.908611059,0.606627345,1.8975219730000001,0.298094302,0.292588055
1360,Slovenia,2017,6.1668376920000005,10.35458946,0.928187847,70.80000305,0.920862675,-0.027939947000000003,0.8287947179999999,0.615109682,0.285601437,0.23977972600000003,0.949709475,0.896576881,1.982300639,0.321445256,0.359244138
1380,South Africa,2017,4.513655186,9.416937828,0.870313287,56.09999847,0.787427902,-0.137357384,0.864781916,0.784800708,0.268175244,0.423274219,0.184953198,0.12307093300000001,2.419569492,0.536055446,0.565037489
